symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,dividend_yield_pct,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,per,pbr,roe_pct,consensus_rating,forecast_agreement,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,trust_fee_pct,aum,nisa_tsumitate_eligible,nisa_growth_eligible,installment_available,management_style,distribution_policy,yahoo_symbol,yahoo_symbol_note,yahoo_symbol_checked_at,yahoo_symbol_status,sector_gics,industry_gics,subindustry_gics,tse_33_industry,topix_17,smai_theme_tags,theme_confidence,theme_source,market_cap,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,average_volume,asset_class,region_exposure,is_hedged,per_source,per_as_of,per_quality,pbr_source,pbr_as_of,pbr_quality,roe_pct_source,roe_pct_as_of,roe_pct_quality,dividend_yield_pct_source,dividend_yield_pct_as_of,dividend_yield_pct_quality,market_cap_tier_source,market_cap_tier_as_of,market_cap_tier_quality,market_cap_source,market_cap_as_of,market_cap_quality,expense_ratio_pct_source,expense_ratio_pct_as_of,expense_ratio_pct_quality,aum_source,aum_as_of,aum_quality,average_volume_source,average_volume_as_of,average_volume_quality,data_quality_reasons,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,JPY,sbi_securities,unknown,growth,unknown,true,true,false,false,bond,index,iシェアーズ 米国債20年超 ETF（為替ヘッジあり） ＦＴＳＥ米国債20年超セレクト・インデックス（国内投信用 円ヘッジ円ベース）,none,0,,bond,0.14,beginner,"low_cost,balanced,bond,index",,,,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T14:03:24.985240+09:00,,117871001600,false,true,,,,2621.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,,,"bond,index",0.90,rule_backfill_v2_from_smai_theme_tags,,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,607814,bond,global,true,,,missing,,,missing,,,missing,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,yahoo,2026-06-25,confirmed,yahoo,2026-06-25,confirmed,,Japan,TSE,2621,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4063.T,Shin-Etsu Chemical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,materials,materials,信越化学,dividend,1.37,mega,,,standard,"balanced,materials",30.66,3.21,10.68,3.4,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4063.T,,2026-06-25,generated,,,,化学,素材・化学,materials,0.86,rule_sprint_v3_representative_theme_from_smai_tags,13295773810688,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,8218870,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4063,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4502.T,Takeda Pharmaceutical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,healthcare,healthcare,武田薬品 ヘルスケア 高配当,high_dividend,3.91,large,,,standard,"dividend,healthcare,high_dividend",40.81,0.99,2.61,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4502.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,医薬品,医薬品,"healthcare,high_dividend",0.80,rule_backfill_v1,7984684990464,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,4260875,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4502,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6367.T,Daikin Industries,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,industrial,industrial,ダイキン,dividend,1.46,large,,,standard,"balanced,industrial",25.44,2.15,9.26,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6367.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,機械,機械,industrial,0.86,rule_sprint_v3_representative_theme_from_smai_tags,6638316552192,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,1255368,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6367,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6501.T,Hitachi,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,industrial,industrial,日立,dividend,0.97,mega,,,standard,"balanced,industrial",28.93,3.53,13.3,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6501.T,,2026-06-25,generated,,,,電気機器,電機・精密,industrial,0.86,rule_sprint_v3_representative_theme_from_smai_tags,20478399873024,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,14056231,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6501,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6723.T,Renesas Electronics,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,semiconductor,technology,renesas semiconductor,dividend,0.62,large,,,standard,"growth,semiconductor,technology",17.17,3.16,-0.39,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6723.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,電気機器,電機・精密,"semiconductor,technology",0.90,rule_backfill_v2_from_smai_theme_tags,8788444184576,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,16935577,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6723,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
9101.T,日本郵船,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,industrial,industrial,日本郵船 プライム（内国株式） 海運業 運輸・物流,high_dividend,3.86,large,,,standard,"balanced,high_dividend,industrial",10.39,0.69,7.06,,,OK,LOW,yahoo,2026-06-01,2026-06-01T14:00:27.076462+09:00,,,false,true,,,,9101.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,海運業,運輸・物流,"high_dividend,industrial",0.86,rule_sprint_v3_representative_theme_from_smai_tags,2127144288256,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,3485598,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,9101,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
CAT,Caterpillar,us,stock,USD,sbi_securities,tradable,growth,lump_sum,true,true,false,false,industrial,industrial,caterpillar machinery,dividend,0.68,mega,,,standard,"dividend,quality,industrial",43.66,21.62,51.33,3.2,MEDIUM,OK,HIGH,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,CAT,,2026-06-25T22:54:22.115452+09:00,generated,Industrials,,,,,industrial,0.86,rule_sprint_v3_representative_theme_from_smai_tags,472042274816,confirmed,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,2663772,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,United States,NASDAQ,CAT,United States,USD,USD,USD,USDJPY,us,LOW,unknown,OK,,tradable,2026-06-01,yahoo
CRM,Salesforce,us,stock,USD,sbi_securities,unknown,growth,lump_sum,true,true,false,false,technology,technology,salesforce,dividend,0.96,large,,,standard,"growth,technology",22.12,4.57,16.91,4.0,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,CRM,,2026-06-25T22:54:22.115452+09:00,generated,Information Technology,,,,,technology,0.80,rule_backfill_v1,123619860480,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,15018683,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,United States,NASDAQ,CRM,United States,USD,USD,USD,USDJPY,us,LOW,unknown,OK,,tradable,2026-06-01,yahoo
CVX,Chevron,us,stock,USD,sbi_securities,unknown,growth,lump_sum,true,true,false,false,energy,energy,chevron,high_dividend,3.78,mega,,,standard,"dividend,energy,high_dividend",31.73,1.96,6.64,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,CVX,,2026-06-25T22:54:22.115452+09:00,generated,Energy,,,,,"energy,high_dividend",0.80,rule_backfill_v1,339467829248,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,10418154,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,United States,NASDAQ,CVX,United States,USD,USD,USD,USDJPY,us,LOW,unknown,OK,,tradable,2026-06-01,yahoo
